b'768957798298288129',b'#RosarioSangra Piden que se repitan las marchas. Miles de personas pic.twitter.com/YYYDHrmtzh',b'266128536',b'266128536',b'Pablo R. Procopio',b'1472168800000.0',b'97',b'116',,,
b'768961056697876480',b'La imagen habla y es mas que cualquier campa\xc3\xb1a o que cualquier discursito que dan. BASTA DE ESTO. #RosarioSangra pic.twitter.com/1ZdL0pbyra',b'928755588',b'928755588',b'~ \xe2\x80\xa2Guido\xe2\x80\xa2 ~',b'1472169577000.0',b'24',b'28',,,
b'768961030114377728',b'#RosarioSangra pic.twitter.com/BhXgjz1cf1',b'471380276',b'471380276',b'#CosaJuzgadaIrrita',b'1472169570000.0',b'21',b'14',,,
b'768960972388085761',"b'Rosario pide justicia, seguridad y equidad #RosarioSangra pic.twitter.com/LhAfpR9B5B'",b'274647977',b'274647977',b'ONI',b'1472169557000.0',b'14',b'13',,,
b'768960905484890112',b'lord mire rosario ahora #rosariosangra pic.twitter.com/yJ08kTMsqj',b'2296226276',b'2296226276',b'ro maco',b'1472169541000.0',b'13',b'12',,,
b'768960889097687040',b'#RosarioSangra Mi Rosario querida...que manchada estas de tanta impunidad',b'150026438',b'150026438',b'Mat\xc3\xadas Pentorari',b'1472169537000.0',b'0',b'0',,,
b'768960828125093888',b'#rosariosangra https://twitter.com/belu_mb/status/768941789965418496\xc2\xa0\xe2\x80\xa6',b'3068989197',b'3068989197',b'Oscar A. Pereyra',b'1472169522000.0',b'0',b'0',,,
b'768960810957897728',b'#RosarioSangra\nno podes salir ni a la vereda de tu casa ayer mi vecino entraba a su propio negocio y c chumbo lo rob https://twitter.com/lt3am680/status/768946370975793152\xc2\xa0\xe2\x80\xa6',b'158105787',b'158105787',b'AnitaK',b'1472169518000.0',b'4',b'5',,,
b'768960809842143232',b'S\xc3\xb3lo alguien con problemas de registro de la realidad (m\xc3\xa1s all\xc3\xa1 de los posicionamientos pol\xc3\xadticos) puede soslayar el #RosarioSangra.',b'395069182',b'395069182',b'Javier Felcaro',b'1472169518000.0',b'15',b'17',,,
b'768960597195120641',b'#RosarioSangra #Seguridad Ya! #politicos #legisladores #autoridades santafecinos tomen nota y act\xc3\xbaen.https://twitter.com/Laurai16/status/768959165331017728\xc2\xa0\xe2\x80\xa6',b'1026410418',b'1026410418',b'RaquelA',b'1472169467000.0',b'1',b'4',,,
b'768960571484102658',"b'#RosarioSangra basta de inseguridades, de muertes, de todo\nLa ciudad unida pidiendo justicia pic.twitter.com/plvE8zTrUM'",b'763873123099873282',b'763873123099873282',b'LittleBren',b'1472169461000.0',b'3',b'4',,,
b'768960529947828224',b'#Rosariosangra Es hora que la gente tambien empieze a repudiar a periodistas locales complices de gestion socialista que les paga',b'48351046',b'48351046',b'Hector de Rosario',b'1472169451000.0',b'0',b'1',,,
b'768960494954741760',b'#RosarioSangra Que se termine esto por favor https://twitter.com/Chofa_carc/status/768949906421710849\xc2\xa0\xe2\x80\xa6',b'305753012',b'305753012',b'Marco Urbaneja',b'1472169443000.0',b'0',b'0',,,
b'768960490164875265',b'#RosarioSangra\n#25DeAgostoNosotrosSomosRosariohttps://twitter.com/PabloSt/status/768125024486195202\xc2\xa0\xe2\x80\xa6',b'50797987',b'50797987',b'Pablo St',b'1472169442000.0',b'0',b'0',,,
b'768960411983118336',b'#SeguimeEnInstagram #RosarioSangra #JuevesRecopado #ObjetivoCFKhttps://twitter.com/PolArg/status/768815271436050432\xc2\xa0\xe2\x80\xa6',b'2453321772',b'2453321772',b'Alam',b'1472169423000.0',b'0',b'0',,,
